,Ploidy,Trt,Time,,,,,Ploidy match,Time match,Treatment match,,,,,,,estimate,SE,df,t.ratio,p.value
68,2M,Treatment17.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.712084923,0.074870784,11,-9.51085167,0.000174643
69,2M,Treatment17.5,1_start,3C,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.471416718,0.073767788,11,-6.390549706,0.006076247
70,2M,Treatment17.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.805950713,0.074131375,11,-10.87192456,4.75E-05
71,2M,Treatment17.5,1_start,3C,Treatment17.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.496766389,0.056487398,2556,-8.794287053,0
72,2M,Treatment17.5,1_start,3M,Treatment17.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.673682566,0.056487396,2556,-11.92624569,0
73,2M,Treatment17.5,1_start,3C,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.514914541,0.075077926,11,-6.858401257,0.003380736
74,2M,Treatment17.5,1_start,3M,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.646294928,0.073677392,11,-8.771957173,0.000375908
75,2M,Treatment17.5,1_start,3C,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.386978356,0.074874852,11,-5.168335499,0.030395975
76,2M,Treatment17.5,1_start,3M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.558366308,0.075017186,11,-7.443178562,0.001669267
77,3C,Treatment17.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.436969498,0.074621654,11,-5.855800257,0.012139961
78,3C,Treatment17.5,1_start,2M,Treatment17.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.246778716,0.057299674,2556,4.306808359,0.006091909
79,3C,Treatment17.5,1_start,3M,Treatment17.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.304701351,0.057129823,2556,-5.333490216,4.38E-05
80,3M,Treatment17.5,1_start,2M,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.43409412,0.075122838,11,5.778457412,0.013441767
81,3M,Treatment17.5,1_start,2M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.46406798,0.073419025,11,6.320813734,0.006641679
82,3M,Treatment17.5,1_start,2M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.406481541,0.074199152,11,5.478250519,0.020033138
83,3M,Treatment17.5,1_start,2M,Treatment17.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.429137825,0.056657067,2556,7.574303528,0
84,3M,Treatment17.5,1_start,2M,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.367850287,0.075912281,11,4.845728301,0.047068565
85,3M,Treatment17.5,1_start,2M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.413941038,0.074458864,11,5.559325191,0.017977044
86,2M,Treatment22.5,1_start,3C,Treatment22.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.338108633,0.057483207,2556,-5.881867937,1.97E-06
87,2M,Treatment22.5,1_start,3M,Treatment22.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.438896722,0.056639607,2556,-7.748936526,0
88,2M,Treatment22.5,1_start,3M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.427559357,0.075060724,11,-5.696179456,0.014986829
89,2M,Treatment22.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.59483872,0.07620727,11,-7.805537676,0.001094758
90,2M,Treatment22.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.68870451,0.075480954,11,-9.124215737,0.000259483
91,2M,Treatment22.5,1_start,3C,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.379520185,0.075604348,11,-5.019819597,0.037164936
92,2M,Treatment22.5,1_start,3M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.556436362,0.075604347,11,-7.359846194,0.001842407
93,2M,Treatment22.5,1_start,3C,Treatment22.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.397668337,0.059278309,2556,-6.708496645,1.01E-08
94,2M,Treatment22.5,1_start,3M,Treatment22.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.529048724,0.057597692,2556,-9.185241738,0
95,2M,Treatment22.5,1_start,3M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.441120104,0.076351109,11,-5.777520582,0.013458396
96,3C,Treatment22.5,1_start,2M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.368082493,0.073302621,11,5.021409715,0.037084909
97,3C,Treatment22.5,1_start,2M,Treatment22.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.2718648,0.058512389,2556,4.64627757,0.001365861
