,probe,run,Tank,Ploidy,Treatment,rate,Oyster.tissue.dry.mass,Respirometry.number,blankcorrectedrates,mass_corected_rate
104,7,26,4,3M,60HS,-0.237515159,0.2394,173,-0.060183804,-0.992126813
75,5,18,14,3C,60,-0.150444653,0.152,123,-0.083723179,-0.989767454
175,7,44,20,3M,20HS,-0.199003082,0.2053,299,-0.049834318,-0.969328212
3,4,1,17,2M,100,-0.175284721,0.1838,3,-0.105757742,-0.953670952
146,4,37,15,3C,20,-0.119004326,0.1255,248,-0.075824101,-0.948241641
96,7,23,18,3M,60,-0.058047482,0.0623,159,0.008673993,-0.931741284
82,4,20,4,3C,60,-0.071469001,0.077,136,-0.004747527,-0.928168844
59,7,14,1,2M,80HS,-0.160226217,0.1738,96,-0.085396692,-0.921899983
6,1,2,17,3M,100,-0.153637169,0.1689,8,-0.08411019,-0.909633919
83,5,20,18,3C,60,-0.203332711,0.2318,137,-0.136611237,-0.877190298
53,4,13,13,2M,80HS,-0.160800198,0.1837,87,-0.085970673,-0.875341306
139,4,35,2,2M,40,-0.113768483,0.132,234,-0.070588258,-0.861882447
47,1,12,11,3M,80HS,-0.178179928,0.2082,78,-0.103350403,-0.855811374
25,7,6,1,3M,80,-0.234096338,0.2745,40,-0.164569359,-0.852809974
23,4,6,13,3C,80,-0.246374804,0.2953,38,-0.176847825,-0.834320366
31,2,8,13,3M,80,-0.134534338,0.1685,51,-0.059704813,-0.798423371
20,5,5,17,2M,100,-0.116198829,0.1457,32,-0.04667185,-0.797521132
16,5,4,12,3C,100,-0.070007337,0.0891,25,-0.000480358,-0.785716465
58,5,14,13,3M,80HS,-0.133895664,0.1711,95,-0.059066139,-0.782557943
43,1,11,11,3M,80,-0.055116394,0.0715,71,0.019713132,-0.770858657
89,1,22,18,3C,60,-0.080894436,0.1072,148,-0.014172962,-0.754612276
161,1,42,15,3C,20,-0.188883392,0.2528,281,-0.145703167,-0.747165316
17,7,4,17,3C,100,-0.08558329,0.117,26,-0.016056311,-0.731481111
73,2,18,4,3M,60,-0.128205776,0.1861,121,-0.061484302,-0.688907985
151,5,38,9,2M,20,-0.097592817,0.1487,256,-0.054412592,-0.656306772
141,2,36,20,3M,20,-0.084640871,0.1336,240,-0.041460646,-0.633539454
144,7,36,9,2M,20,-0.093685318,0.1483,243,-0.050505093,-0.631728375
33,5,8,11,2M,80,-0.043672735,0.0692,53,0.031156791,-0.631108887
158,2,41,15,3M,20,-0.08856207,0.1455,275,-0.045381845,-0.608674021
128,7,32,2,3M,40,-0.071651042,0.1179,215,0.105680313,-0.607727243
37,4,9,11,2M,80,-0.065789381,0.1086,59,0.009040145,-0.605795405
12,4,3,3,3C,100,-0.090136845,0.1532,17,-0.020609866,-0.588360607
35,1,9,1,3M,80,-0.098719067,0.1717,57,-0.023889542,-0.574950885
79,4,19,4,3C,60,-0.06867548,0.1228,129,-0.001954005,-0.55924658
81,2,20,14,2M,60,-0.091117613,0.1652,135,-0.024396139,-0.551559401
28,5,7,11,3C,80,-0.062897374,0.12,46,0.011932152,-0.524144783
26,1,7,11,3M,80,-0.079439155,0.1531,43,-0.004609629,-0.518871032
5,7,1,17,3M,100,-0.097034724,0.1871,5,-0.027507745,-0.518624928
30,1,8,13,3C,80,-0.112826569,0.2261,50,-0.037997044,-0.499011805
131,5,33,10,3M,40,-0.052480772,0.1093,221,0.124850583,-0.480153449
32,4,8,1,3M,80,-0.076929631,0.1665,52,-0.002100105,-0.462039826
118,4,30,10,3M,40,-0.079315276,0.1755,199,0.098016079,-0.451938895
85,1,21,14,3M,60,-0.08118348,0.1858,141,-0.014462006,-0.436940151
90,2,22,4,3M,60,-0.099121603,0.2272,149,-0.032400129,-0.436274661
29,7,7,13,3M,80,-0.103095179,0.2693,47,-0.028265654,-0.382826509
27,4,7,1,3C,80,-0.094298037,0.2464,45,-0.019468512,-0.382703072
80,5,19,18,3M,60,-0.037971719,0.1027,130,0.028749756,-0.369734362
152,7,38,9,3M,20,-0.093417812,0.286,257,-0.050237587,-0.326635706
133,2,34,2,3C,40,-0.055105355,0.1767,226,0.122226,-0.311858263
34,7,8,11,3M,80,-0.079477842,0.2797,54,-0.004648317,-0.284153886
41,5,10,11,3M,80,-0.05979981,0.2789,67,0.015029716,-0.214413087
148,7,37,15,3M,20,-0.015770074,0.0954,250,0.027410152,-0.165304759
109,2,28,18,2M,60HS,-0.48222457,0.082,184,-0.304893215,-3.718209939
124,5,31,10,3C,40,-0.228290918,0.1358,207,-0.050959563,-0.375254514
153,1,39,15,2M,20,-0.17299303,0.0984,260,-0.129812805,-1.319235818
154,2,39,15,3C,20,-0.09438177,0.136,261,-0.051201545,-0.376481945
155,4,39,9,3C,20,-0.213089798,0.1277,262,-0.169909573,-1.330536981
156,7,39,20,2M,20,-0.103982602,0.0617,264,-0.060802377,-0.985451807
157,1,41,20,3C,20,-0.070605918,0.0858,274,-0.027425693,-0.319646766
159,4,41,9,2M,20,-0.175288791,0.0534,276,-0.132108566,-2.473943174
160,5,41,20,3C,20,-0.052584817,0.0755,277,-0.009404592,-0.124564126
162,2,42,20,3C,20,-0.069441536,0.0425,282,-0.026261311,-0.617913188
163,4,42,20,3M,20,-0.243296672,0.1449,283,-0.200116447,-1.381065883
164,5,42,15,2M,20,-0.086320515,0.0991,284,-0.04314029,-0.435320782
165,7,42,9,3C,20,-0.077838013,0.0526,285,-0.034657788,-0.658893298
184,1,46,9,3C,20HS,-0.20520254,0.0705,309,-0.056033776,-0.794805328
185,4,46,20,2M,20HS,-0.176380555,0.0288,311,-0.027211791,-0.94485384
186,5,46,9,3M,20HS,-0.185360279,0.1245,312,-0.036191515,-0.290694896
